efficient		ефективний, дієвий	inefficient (неефективний)
healthy		здоровий	unhealthy(нездоровий, антисанітарний)
honest		чесний	dishonest(нечесний, ганебний)
logical		логічний	illogical(нелогічний)
irresponsible		відповідальний	irresponsible(безвідповідальний)
hear		слухати	mishear(недочути, почути не те)
understand		розуміти	misunderstand(непорозуміння)
friendly		дружній	unfriendly(недружній)
satisfied		задоволений	dissatisfied(незадоволений)
tolerant		терпимий	intolerant(нетерпимий, нетерплячий)
legal		легальний	illegal(нелегальний)